Date,Open,High,Low,Close,Adj Close,Volume
2/12/2020,278.350006,281,276.910004,279.100006,277.877197,93524600
2/13/2020,280.48999,283.940002,278.75,279.079987,277.857239,104709700
2/14/2020,280.730011,283.700012,278.5,282.970001,281.730225,85166000
2/15/2020,285.119995,288.269989,284.619995,287.049988,285.792328,77896600
2/16/2020,291.019989,291.399994,285.399994,285.730011,284.478149,105270000
2/17/2020,291.529999,294.880005,290.410004,293.209991,291.925354,118745600
2/18/2020,291.709991,293.320007,288.589996,290.480011,289.207336,121841200
2/19/2020,285.309998,290.660004,281.519989,282.790009,281.551025,125180000
2/20/2020,280.73999,283.899994,279.130005,283.570007,282.327606,80873200
2/21/2020,286.640015,289.25,283.709991,286.190002,284.936127,79569900
2/22/2020,288.040009,288.459991,283.779999,284.25,283.004608,73632600
2/23/2020,287.75,289.779999,287.130005,287.679993,286.419586,75250400
2/24/2020,291.089996,292.950012,289.859985,292.440002,291.158722,76622100
2/25/2020,290.339996,294,289.880005,292.5,291.218475,79030200
2/26/2020,293.790009,294.23999,286.519989,286.670013,285.414032,95870800
2/27/2020,286.059998,287.190002,278.959991,281.600006,280.366241,144721100
2/28/2020,278.950012,285.109985,272.98999,284.970001,283.721466,121977900
2/29/2020,282.369995,286.329987,281.339996,286.279999,285.025726,111146300
3/1/2020,293.049988,296.75,292.700012,295,293.70752,120320200
3/2/2020,294.350006,296.209991,291.950012,291.970001,290.690796,95189300
3/3/2020,295.820007,297.869995,295.570007,296.929993,295.629059,85861700
3/4/2020,296.790009,297.670013,293.690002,294.880005,293.588043,78293900
3/5/2020,294.570007,295.630005,293.220001,295.440002,294.145599,63958200
3/6/2020,301.929993,302.190002,295.459991,299.079987,297.769623,88951400
3/7/2020,302.119995,303.570007,296.869995,303.529999,302.200134,104817400
3/8/2020,304.649994,306.839996,302.23999,302.970001,301.642609,90405200
3/9/2020,302.459991,304.959991,299.470001,304.320007,302.986694,119265700
3/10/2020,303.619995,306.209991,303.059998,305.549988,304.211273,55758300
3/11/2020,306.549988,308.130005,305.100006,308.079987,306.730194,74267200
3/12/2020,310.23999,313.220001,309.940002,312.179993,310.812225,92567600
3/13/2020,311.109985,313,309.079987,311.359985,309.995819,75794400
3/14/2020,317.230011,321.269989,317.160004,319.339996,317.940887,150524700
3/15/2020,320.220001,323.410004,319.630005,323.200012,321.783966,73641200
3/16/2020,320.299988,323.279999,319.359985,320.790009,319.384521,77479200
3/17/2020,321.420013,322.390015,318.220001,319,317.602356,95000800
3/18/2020,311.459991,312.149994,300.01001,300.609985,299.292938,209243600
3/19/2020,308.23999,309.079987,298.600006,304.209991,302.877167,194529100
3/20/2020,298.019989,308.279999,296.73999,307.049988,305.704712,135782700
3/21/2020,315.480011,315.640015,307.670013,312.959991,311.588806,137627500
3/22/2020,314.070007,314.390015,310.859985,311.660004,310.294525,82954600
3/23/2020,310.01001,312.299988,309.51001,311.779999,310.414001,80828700
3/24/2020,314.170013,314.380005,306.529999,308.640015,308.640015,135549600
3/25/2020,307.98999,311.049988,306.75,310.619995,310.619995,74649400
3/26/2020,313.48999,314.5,311.609985,312.049988,312.049988,68471200
3/27/2020,309.839996,310.51001,302.100006,304.089996,304.089996,132813500
3/28/2020,303.470001,307.640015,301.279999,307.350006,307.350006,89468000
3/29/2020,306.160004,306.390015,299.420013,300.049988,300.049988,127961000
3/30/2020,301.410004,304.609985,298.929993,304.459991,304.459991,79773300
3/31/2020,303.98999,310.200012,303.820007,308.359985,308.359985,113394800
4/1/2020,309.570007,311.890015,309.070007,310.519989,310.519989,72396500
4/2/2020,314.23999,315.700012,311.51001,312.230011,312.230011,69344200
4/3/2020,316.369995,317.679993,315.559998,317.049988,317.049988,61713800
4/4/2020,315.380005,317.519989,313.369995,313.779999,313.779999,82910000
4/5/2020,314.609985,316.299988,312.700012,316.179993,316.179993,54638600
4/6/2020,316.839996,317.100006,310.679993,314.380005,314.380005,83354200
4/7/2020,314.309998,317.880005,312.76001,317.589996,317.589996,57550400
4/8/2020,320.130005,322.709991,314.130005,314.839996,314.839996,102997500
4/9/2020,313.299988,319.76001,312,318.920013,318.920013,93657000
4/10/2020,322.410004,323.040009,319.269989,321.850006,321.850006,87196500
4/11/2020,319.790009,321.279999,319.089996,320.790009,320.790009,54622500
